Monitoring Location Name,Activity Start Date,Characteristic Name,Sample Fraction,Result Value,Result Unit,Detection Condition,Monitoring Location ID,Monitoring Location Latitude,Monitoring Location Longitude,Detection Limit Value1,Detection Limit Unit1
Lincoln Point,02-10-2017,Phosphorus,Total,0.08,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,02-22-2017,Phosphorus,Total,1.96,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,02-27-2017,Phosphorus,Total,0.17,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,03-05-2017,Phosphorus,Total,0.2,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,03-23-2017,Phosphorus,Total,0.37,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,03-27-2017,Phosphorus,Total,0.08,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,03-30-2017,Phosphorus,Total,0.06,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,04-08-2017,Phosphorus,Total,0.07,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,04-19-2017,Phosphorus,Total,0.07,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,04-21-2017,Phosphorus,Total,0.06,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,04-25-2017,Phosphorus,Total,0.06,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,05-06-2017,Phosphorus,Total,0.37,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,05-17-2017,Phosphorus,Total,8.9,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,05-21-2017,Phosphorus,Total,1.4,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,07-25-2017,Phosphorus,Total,8.8,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,09-15-2017,Phosphorus,Total,0.69,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,09-24-2017,Phosphorus,Total,0.18,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,11-05-2017,Phosphorus,Total,1.1,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,11-17-2017,Phosphorus,Total,0.18,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,01-09-2018,Phosphorus,Total,0.1,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,02-15-2018,Phosphorus,Total,0.03,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,03-16-2018,Phosphorus,Total,0.01,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,03-23-2018,Phosphorus,Total,0.03,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,04-07-2018,Phosphorus,Total,1.6,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,04-20-2018,Phosphorus,Total,0.55,mg/l,,108,40.135681,-111.829214,,
Lincoln Point,04-30-2018,Phosphorus,Total,0.49,mg/l,,108,40.135681,-111.829214,,
